#PC0: 2.08734e+06 / 2.19647e+06 = 0.950314
#PC1: 56006.2 / 2.19647e+06 = 0.0254982
#PC2: 25787.2 / 2.19647e+06 = 0.0117403
#PC3: 9531.2 / 2.19647e+06 = 0.00433932
#PC4: 5646.63 / 2.19647e+06 = 0.00257077
#PC5: 3011.57 / 2.19647e+06 = 0.0013711
#PC6: 2055.88 / 2.19647e+06 = 0.000935993
#PC7: 1784.36 / 2.19647e+06 = 0.000812373
#PC8: 1222.79 / 2.19647e+06 = 0.000556704
#PC9: 1013.83 / 2.19647e+06 = 0.00046157
#PC10: 500.317 / 2.19647e+06 = 0.000227782
#PC11: 472.707 / 2.19647e+06 = 0.000215212
#PC12: 391.472 / 2.19647e+06 = 0.000178227
#PC13: 325.773 / 2.19647e+06 = 0.000148316
#PC14: 300.826 / 2.19647e+06 = 0.000136959
#PC15: 272.237 / 2.19647e+06 = 0.000123943
#PC16: 253.474 / 2.19647e+06 = 0.0001154
#PC17: 250.794 / 2.19647e+06 = 0.00011418
#PC18: 164.818 / 2.19647e+06 = 7.50377e-05
#PC19: 98.0569 / 2.19647e+06 = 4.46429e-05
#PC20: 28.7519 / 2.19647e+06 = 1.309e-05
#PC21: 9.84173 / 2.19647e+06 = 4.4807e-06
#PC22: 2.96299 / 2.19647e+06 = 1.34897e-06
idpar_scale PC0 PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 PC21 PC22 Mean
-1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-1 -5.28013e-05 -9.97977e-06 3.01304e-05 5.84575e-07 -1.40872e-05 -3.74707e-06 -2.69527e-05 6.47888e-05 -1.49831e-05 -5.48786e-05 3.1142e-05 -4.81093e-05 -1.16038e-06 0.000110227 6.13821e-05 6.35655e-05 -1.24193e-05 -0.000113458 -1.35248e-05 6.29376e-05 6.79524e-05 1.63485e-05 -0.00099074 -0.103511
-1 -7.25751e-05 -1.4403e-05 3.28798e-05 2.18933e-06 -1.75747e-05 -4.90381e-06 -3.28861e-05 7.61036e-05 -1.83456e-05 -6.91655e-05 4.11554e-05 -6.01274e-05 3.35067e-06 0.000118532 7.12418e-05 7.12693e-05 -1.55262e-05 -0.000138258 -1.45868e-05 8.24306e-05 8.54199e-05 2.52308e-05 -0.00133224 -0.140367
-1025.72 -0.114751 -0.0329734 -0.0138544 0.0172782 -0.00367175 -0.000648372 0.000849258 -0.0136211 -0.000789772 0.00570469 0.00458093 0.0053324 -0.00131842 -0.0142353 -0.00180042 -0.00219369 0.000423817 -0.000309263 -0.000300679 -0.00290879 -0.0020924 5.6657e-05 -0.0877881 -174.379
-1035 -0.0184326 0.1835 -0.316842 -0.0187377 0.0230848 -0.0934832 0.272754 -0.00465019 -0.881216 -0.0229253 -0.00692038 0.00867473 0.0641155 -0.00350231 -0.00251018 -0.00906468 -0.00244182 -0.00246535 0.00104189 -0.000227196 0.00477002 0.0058536 0.00144687 -287.4
-1215.67 -0.115783 -0.0328589 -0.0128679 0.016656 -0.00310642 -0.000645906 0.000387101 -0.0125876 -0.00123678 0.00503107 0.00479825 0.00436036 -0.00068427 -0.0140965 -0.000522147 -0.00114156 0.000156946 -8.53604e-05 -0.000186011 -0.00143991 -6.97632e-05 0.0012078 -0.0788127 -173.188
-1240 -0.101233 0.141654 0.115621 -0.377584 0.212225 0.0135019 0.00370634 0.0716468 -0.000680581 -0.0577272 0.732562 0.227772 0.0011944 0.246557 0.0385996 -0.0271701 0.0027846 0.328485 -0.00159184 0.00125671 -0.000178015 0.000165469 -0.0158285 -192.243
-1397 -0.114388 -0.0294053 -0.0111202 0.00884512 0.000927571 0.000997479 0.000579306 -0.0103974 0.000266489 0.00525573 -0.00394662 0.00190372 -0.000256853 -0.00716015 -0.000937831 -0.0017913 0.000187776 0.00812221 0.000138127 -0.0021541 5.39774e-05 -0.00218235 0.130723 -174.847
-1406 -0.113867 -0.0263635 -0.00783668 0.00776825 0.00309726 0.00290912 -0.00271658 -0.0166255 -0.0012829 0.00431265 -0.00544061 0.00219171 0.00276762 -0.00568867 0.00215133 -0.00465546 -0.00112321 0.0114229 -0.00143725 0.00416969 0.00578576 -0.00471191 0.205907 -175.485
-1486 -0.113521 -0.0227127 -0.0055703 0.00325735 0.00445804 0.00328247 -0.00373158 -0.0209145 -0.001658 0.00450381 0.00265984 0.00679241 0.0036074 -0.00445632 0.00273812 -0.00474798 -0.000695599 0.0133978 -0.00154015 0.00485925 0.00612063 -0.0044912 0.180795 -175.927
