#PC0: 12257.3 / 17719.7 = 0.691735
#PC1: 3381.73 / 17719.7 = 0.190846
#PC2: 1254.8 / 17719.7 = 0.0708139
#PC3: 392.745 / 17719.7 = 0.0221643
#PC4: 162.465 / 17719.7 = 0.00916861
#PC5: 74.5793 / 17719.7 = 0.00420884
#PC6: 53.7794 / 17719.7 = 0.00303501
#PC7: 45.2218 / 17719.7 = 0.00255207
#PC8: 31.3049 / 17719.7 = 0.00176667
#PC9: 16.7172 / 17719.7 = 0.000943423
#PC10: 10.1954 / 17719.7 = 0.00057537
#PC11: 8.7165 / 17719.7 = 0.00049191
#PC12: 5.5081 / 17719.7 = 0.000310846
#PC13: 4.94917 / 17719.7 = 0.000279303
#PC14: 2.90292 / 17719.7 = 0.000163824
#PC15: 2.68712 / 17719.7 = 0.000151646
#PC16: 2.36681 / 17719.7 = 0.000133569
#PC17: 1.62206 / 17719.7 = 9.15401e-05
#PC18: 1.57986 / 17719.7 = 8.91586e-05
#PC19: 1.3797 / 17719.7 = 7.78623e-05
#PC20: 0.952787 / 17719.7 = 5.37699e-05
#PC21: 0.868643 / 17719.7 = 4.90213e-05
#PC22: 0.80122 / 17719.7 = 4.52164e-05
#PC23: 0.530652 / 17719.7 = 2.9947e-05
#PC24: 0.418191 / 17719.7 = 2.36004e-05
#PC25: 0.361171 / 17719.7 = 2.03824e-05
#PC26: 0.32609 / 17719.7 = 1.84027e-05
#PC27: 0.303565 / 17719.7 = 1.71315e-05
#PC28: 0.254616 / 17719.7 = 1.43691e-05
#PC29: 0.21962 / 17719.7 = 1.23941e-05
#PC30: 0.205271 / 17719.7 = 1.15843e-05
#PC31: 0.167351 / 17719.7 = 9.44432e-06
#PC32: 0.142519 / 17719.7 = 8.04298e-06
#PC33: 0.118383 / 17719.7 = 6.68086e-06
#PC34: 0.105043 / 17719.7 = 5.92805e-06
#PC35: 0.0929485 / 17719.7 = 5.24549e-06
#PC36: 0.0910172 / 17719.7 = 5.1365e-06
#PC37: 0.0836893 / 17719.7 = 4.72295e-06
#PC38: 0.0717071 / 17719.7 = 4.04674e-06
#PC39: 0.0694954 / 17719.7 = 3.92193e-06
#PC40: 0.064136 / 17719.7 = 3.61947e-06
#PC41: 0.0591883 / 17719.7 = 3.34025e-06
#PC42: 0.0574248 / 17719.7 = 3.24073e-06
#PC43: 0.049023 / 17719.7 = 2.76658e-06
#PC44: 0.0484412 / 17719.7 = 2.73375e-06
#PC45: 0.0448477 / 17719.7 = 2.53095e-06
#PC46: 0.0406748 / 17719.7 = 2.29546e-06
#PC47: 0.0379922 / 17719.7 = 2.14407e-06
#PC48: 0.0365048 / 17719.7 = 2.06012e-06
#PC49: 0.03254 / 17719.7 = 1.83638e-06
#PC50: 0.0291636 / 17719.7 = 1.64583e-06
#PC51: 0.0275721 / 17719.7 = 1.55602e-06
#PC52: 0.0245791 / 17719.7 = 1.38711e-06
#PC53: 0.0213769 / 17719.7 = 1.20639e-06
#PC54: 0.0194409 / 17719.7 = 1.09714e-06
#PC55: 0.0182521 / 17719.7 = 1.03004e-06
wavelength PC0 PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 PC21 PC22 PC23 PC24 PC25 PC26 PC27 PC28 PC29 PC30 PC31 PC32 PC33 PC34 PC35 PC36 PC37 PC38 PC39 PC40 PC41 PC42 PC43 PC44 PC45 PC46 PC47 PC48 PC49 PC50 PC51 PC52 PC53 PC54 PC55 Mean
0.0100166 0.0426095 -0.0103016 -0.0938541 0.019413 -0.0418704 0.0474663 0.00909949 0.00590289 -0.00712021 0.00519633 -0.0186253 -0.0742927 0.00201947 0.0286994 0.0197819 0.0218592 -0.0524483 -0.0398516 0.0368982 0.00829847 0.0395549 0.0269401 -0.000134179 -0.0151962 0.0220106 -0.00698287 0.0177399 0.0219923 0.0117459 0.0329547 0.034289 0.0248686 0.0224682 0.0169327 0.0130833 -0.00796742 0.0486548 0.00643005 -0.0242215 0.0651617 -0.0368582 0.00350498 -0.0151987 0.0113035 0.0103709 -0.0260727 -0.0105716 -0.00667493 -0.00870234 -0.00956209 -0.00608251 0.00485014 0.0123035 -0.00334295 -0.0467145 -0.0312315 23.3872
0.0100499 0.042601 -0.0103083 -0.0932975 0.0193453 -0.0410457 0.0469985 0.00931416 0.00545241 -0.00728507 0.0048318 -0.018287 -0.0730008 0.00209808 0.0279602 0.0189421 0.0211731 -0.0516543 -0.0387877 0.0359957 0.00831015 0.0389288 0.0258057 4.51474e-05 -0.0145724 0.0215224 -0.00664711 0.0169773 0.0209662 0.0108666 0.0317865 0.0333998 0.0241522 0.02188 0.0165071 0.012307 -0.0079748 0.0469501 0.00628824 -0.0235036 0.0623009 -0.0360057 0.00320869 -0.0152033 0.0109507 0.00965422 -0.0253277 -0.00994683 -0.00503902 -0.00841743 -0.00894547 -0.00635994 0.00390787 0.0127865 -0.00295448 -0.0444924 -0.0307191 23.4012
0.0100833 0.0425929 -0.0103133 -0.0927395 0.0192794 -0.040223 0.0465286 0.00952681 0.00500239 -0.007447 0.00446916 -0.017948 -0.0717106 0.00217907 0.0272228 0.0181015 0.0204892 -0.0508571 -0.0377251 0.0350913 0.00831902 0.0383027 0.0246718 0.000226164 -0.0139499 0.0210328 -0.00630857 0.0162185 0.0199418 0.00998335 0.0306234 0.0325161 0.0234355 0.0212928 0.0160812 0.0115249 -0.00798813 0.0452369 0.00615257 -0.0227931 0.0594603 -0.0351616 0.00290607 -0.0152115 0.0106015 0.00892513 -0.0245888 -0.00931147 -0.00339822 -0.00813877 -0.00832354 -0.00664674 0.0029701 0.0132788 -0.00255746 -0.0422706 -0.0302066 23.4152
0.0101169 0.0425855 -0.0103168 -0.0921801 0.0192155 -0.039403 0.0460577 0.00973801 0.00455256 -0.00760564 0.0041077 -0.0176069 -0.0704208 0.00226071 0.0264884 0.0172644 0.0198021 -0.0500559 -0.0366612 0.0341939 0.00832873 0.0376764 0.0235472 0.000416101 -0.0133221 0.0205482 -0.00596548 0.0154599 0.0189256 0.00909357 0.0294743 0.0316375 0.0227027 0.020701 0.0156423 0.0107305 -0.00800576 0.0435216 0.00604478 -0.0220671 0.0566226 -0.0343312 0.00259873 -0.015233 0.0102211 0.00817806 -0.0238684 -0.00869738 -0.00173264 -0.00787224 -0.00768673 -0.00691743 0.00202308 0.0138225 -0.00211257 -0.040034 -0.0296964 23.429
0.0101505 0.0425786 -0.0103187 -0.0916192 0.0191537 -0.0385858 0.0455856 0.00994775 0.00410292 -0.00776094 0.00374742 -0.0172636 -0.0691315 0.00234295 0.0257571 0.0164312 0.0191117 -0.0492506 -0.0355961 0.0333037 0.00833933 0.0370499 0.0224322 0.000615196 -0.0126886 0.0200687 -0.00561781 0.0147014 0.017918 0.00819717 0.0283396 0.0307639 0.0219531 0.0201043 0.0151902 0.00992348 -0.00802757 0.041804 0.00596538 -0.021325 0.0537871 -0.0335143 0.00228682 -0.015268 0.00980834 0.00741304 -0.0231667 -0.00810594 -4.17106e-05 -0.00761787 -0.00703444 -0.00717107 0.0010665 0.0144191 -0.00161841 -0.0377817 -0.0291879 23.4428
0.0101843 0.0425722 -0.0103189 -0.0910568 0.0190934 -0.03777 0.0451104 0.0101547 0.00365407 -0.00791365 0.00338992 -0.0169212 -0.0678451 0.00242964 0.0250261 0.0155918 0.0184295 -0.048443 -0.0345352 0.0324014 0.00834283 0.0364235 0.0213078 0.000807734 -0.0120645 0.0195806 -0.00526934 0.013951 0.0169043 0.00729935 0.0271997 0.0298965 0.0212213 0.0195148 0.0147521 0.00911829 -0.00805717 0.0400711 0.0058669 -0.0206169 0.0509923 -0.0327003 0.00196705 -0.0152955 0.00943935 0.00664194 -0.0224568 -0.00746751 0.00163108 -0.00736328 -0.00638781 -0.00746384 0.000131303 0.0149752 -0.00116253 -0.035548 -0.028677 23.4564
0.0102182 0.0425731 -0.0103127 -0.0905562 0.0190498 -0.0371202 0.0447189 0.0102802 0.00330703 -0.0081295 0.00304376 -0.0163989 -0.0668019 0.00240513 0.0244217 0.0150916 0.0179208 -0.0476186 -0.0336514 0.0314146 0.0081595 0.035824 0.020485 0.00121411 -0.0114663 0.0191429 -0.00474519 0.0134454 0.0161654 0.00595273 0.0260881 0.0287102 0.020203 0.0188657 0.0142808 0.00822127 -0.00807982 0.0382596 0.00560426 -0.0194282 0.0479115 -0.0312535 0.00143052 -0.0150216 0.00909807 0.00539015 -0.0203011 -0.00645578 0.00311221 -0.0072826 -0.00594808 -0.00651969 -0.000729603 0.0141704 -0.00112238 -0.0333331 -0.0272523 23.4672
0.0102521 0.0425783 -0.0103 -0.0901054 0.0190088 -0.0365927 0.0443651 0.0103121 0.00305821 -0.00841415 0.00273392 -0.0157734 -0.0660131 0.00235091 0.0238789 0.0147173 0.0177512 -0.0468111 -0.0330045 0.0300343 0.0076828 0.035248 0.0196051 0.00155565 -0.0111282 0.01852 -0.00413225 0.0132686 0.0154285 0.00429492 0.0246927 0.0272793 0.0194945 0.0183585 0.0142082 0.00747457 -0.00816389 0.0361514 0.00442821 -0.0186376 0.0452317 -0.0290954 0.000622989 -0.0141638 0.0100419 0.00390841 -0.0164534 -0.00396385 0.00373857 -0.00715283 -0.00603657 -0.00540956 -0.0010474 0.01068 -0.00285149 -0.0316916 -0.0250025 23.4756
0.0102862 0.0425847 -0.0102859 -0.0896544 0.0189739 -0.0360744 0.0440208 0.0103485 0.00280575 -0.00869227 0.0024172 -0.0151291 -0.0652125 0.00227679 0.02336 0.0143986 0.0175094 -0.0459871 -0.032322 0.0287749 0.00725213 0.0346725 0.0188402 0.00200391 -0.0106971 0.0179828 -0.00349047 0.0130432 0.0147835 0.00258799 0.0234296 0.0258629 0.0185732 0.017779 0.0139585 0.00662269 -0.00824437 0.034102 0.00356556 -0.0175581 0.042363 -0.0270362 -0.000183817 -0.013452 0.0105304 0.00232265 -0.0127936 -0.00187615 0.00466871 -0.00712528 -0.00597899 -0.00397836 -0.0015454 0.00778982 -0.00402151 -0.0298442 -0.0227938 23.4838
0.0103205 0.0425915 -0.01027 -0.0892015 0.0189396 -0.0355564 0.0436712 0.0103797 0.00255428 -0.00896984 0.00210489 -0.0144888 -0.0644187 0.0022114 0.0228432 0.0140642 0.0172779 -0.0451609 -0.0316406 0.0274968 0.0068101 0.0340957 0.0180525 0.00244793 -0.0102764 0.0174315 -0.00284894 0.0128196 0.0141278 0.000868717 0.0221632 0.0244691 0.0176807 0.0172106 0.0137195 0.00576954 -0.00834519 0.0320169 0.00267609 -0.0165388 0.0395799 -0.0249987 -0.00102163 -0.012743 0.0111093 0.000720776 -0.00912399 0.000304544 0.00559459 -0.00710856 -0.00593122 -0.00261693 -0.00201513 0.00483719 -0.00525303 -0.0280326 -0.020606 23.4919
