iused  iselected  id  name                    mid  mag_lim  mag_lim_err  Nsigma  mag_err_min  SNR_min  inoise  Bsky  D  t  Bdet  Nread  Rn  Npx  Npx_sig  #  itype  icalib  description
1      0          0   F435W_host              0,1  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          1   F606W_host              0,1  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          2   F775W_host              0,1  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          3   F814W_host              0,1  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          4   F850LP_host             0,1  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          5   F105W_host              0,1  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          6   F110W_host              0,1  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          7   F125W_host              0,1  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          8   F140W_host              0,1  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          9   F160W_host              0,1  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          10  F435W_point             2,3  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          11  F606W_point             2,3  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          12  F775W_point             2,3  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          13  F814W_point             2,3  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          14  F850LP_point            2,3  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          15  F105W_point             2,3  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          16  F110W_point             2,3  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          17  F125W_point             2,3  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          18  F140W_point             2,3  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      0          19  F160W_point             2,3  99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          20  GALEX.FUV_total         -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          21  GALEX.NUV_total         -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          22  SLOAN.SDSS.u_total      -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          23  SLOAN.SDSS.g_total      -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
