#          sample     71         0  0
ID         z_min      z_max      d  E(B-V)  F435W_host  F435W_err_host  F606W_host  F606W_err_host  F775W_host  F775W_err_host  F814W_host  F814W_err_host  F850LP_host  F850LP_err_host  F105W_host  F105W_err_host  F110W_host  F110W_err_host  F125W_host  F125W_err_host  F140W_host  F140W_err_host  F160W_host  F160W_err_host  F435W_point  F435W_err_point  F606W_point  F606W_err_point  F775W_point  F775W_err_point  F814W_point  F814W_err_point  F850LP_point  F850LP_err_point  F105W_point  F105W_err_point  F110W_point  F110W_err_point  F125W_point  F125W_err_point  F140W_point  F140W_err_point  F160W_point  F160W_err_point  GALEX.FUV_total  GALEX.FUV_err_total  GALEX.NUV_total  GALEX.NUV_err_total  SLOAN.SDSS.u_total  SLOAN.SDSS.u_err_total  SLOAN.SDSS.g_total  SLOAN.SDSS.g_err_total  SLOAN.SDSS.r_total  SLOAN.SDSS.r_err_total  SLOAN.SDSS.i_total  SLOAN.SDSS.i_err_total  SLOAN.SDSS.z_total  SLOAN.SDSS.z_err_total  PS1.g_total  PS1.g_err_total  PS1.r_total  PS1.r_err_total  PS1.i_total  PS1.i_err_total  PS1.z_total  PS1.z_err_total  PS1.y_total  PS1.y_err_total  WFPC2-PC.F300W_total  WFPC2-PC.F300W_err_total  WFPC2-PC.F450W_total  WFPC2-PC.F450W_err_total  ACS_WFC.F435W_total  ACS_WFC.F435W_err_total  ACS_WFC.F606W_total  ACS_WFC.F606W_err_total  ACS_WFC.F775W_total  ACS_WFC.F775W_err_total  ACS_WFC.F814W_total  ACS_WFC.F814W_err_total  ACS_WFC.F850LP_total  ACS_WFC.F850LP_err_total  WFC3_UVIS1.F225W_total  WFC3_UVIS1.F225W_err_total  WFC3_UVIS1.F275W_total  WFC3_UVIS1.F275W_err_total  WFC3_UVIS1.F336W_total  WFC3_UVIS1.F336W_err_total  WFC3_IR.F098M_total  WFC3_IR.F098M_err_total  WFC3_IR.F105W_total  WFC3_IR.F105W_err_total  WFC3_IR.F110W_total  WFC3_IR.F110W_err_total  WFC3_IR.F125W_total  WFC3_IR.F125W_err_total  WFC3_IR.F140W_total  WFC3_IR.F140W_err_total  WFC3_IR.F160W_total  WFC3_IR.F160W_err_total  VISTA.Y_total  VISTA.Y_err_total  VISTA.J_total  VISTA.J_err_total  VISTA.H_total  VISTA.H_err_total  VISTA.Ks_total  VISTA.Ks_err_total  UFTI.Y_total  UFTI.Y_err_total  UFTI.J_total  UFTI.J_err_total  UFTI.H_total  UFTI.H_err_total  UFTI.K_total  UFTI.K_err_total  WISE.W1_total  WISE.W1_err_total  WISE.W2_total  WISE.W2_err_total  WISE.W3_total  WISE.W3_err_total  WISE.W4_total  WISE.W4_err_total  IRAC.I1_total  IRAC.I1_err_total  IRAC.I2_total  IRAC.I2_err_total  IRAC.I3_total  IRAC.I3_err_total  IRAC.I4_total  IRAC.I4_err_total  MIPS.24mu_total  MIPS.24mu_err_total  Pacs.red_total  Pacs.red_err_total  Pacs.blue_total  Pacs.blue_err_total  Pacs.green_total  Pacs.green_err_total  SPIRE.PSW_total  SPIRE.PSW_err_total  SPIRE.PMW_total  SPIRE.PMW_err_total  SPIRE.PLW_total  SPIRE.PLW_err_total
cid_71     0.7285765  0.7285765  0  0       -999.0      -999.0          7.570483    0.118642        -999.0      -999.0          23.923527   0.292516        -999.0       -999.0           -999.0      -999.0          -999.0      -999.0          48.6373     1.065066        -999.0      -999.0          63.58606    0.495753        -999.0       -999.0           9.83886355   0.115434186      -999.0       -999.0           8.132011747  0.211800063      -999.0        -999.0            -999.0       -999.0           -999.0       -999.0           11.66345093  1.087189735      -999.0       -999.0           10.32513838  0.424136214      0.9775536        0.3886273            4.845973         0.7475196            5.68243202          1.026797282             11.4601486          0.514824026             14.72225206         0.81740137              22.43831543         1.225082658             29.24436858         4.996493954             -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0                -999.0                    -999.0                -999.0                    -999.0               -999.0                   16.10002242          0.255413248              -999.0               -999.0                   26.78097532          0.48044496               -999.0                -999.0                    -999.0                  -999.0                      -999.0                  -999.0                      -999.0                  -999.0                      -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   45.88238337          15.84648969              62.25101359          1.245020272              57.22507474          19.86151681              -999           -999               -999.0         -999.0             -999.0         -999.0             -999.0          -999.0              24.68365393   3.154595656       46.70535193   3.286655616       63.26673886   5.934989505       89.58841413   6.508687875       122.8078841    6.877241511        89.62439745    12.45779125        378.1170395    183.7648812        4145.970894    -4145.970894       145.0          0.28               120.0          0.435              136.0          1.7                131.0          2.72               574              10.3                 -999.0          -999.0              5714.8           1472.3               -999.0            -999.0                19910.7          3410.51              14482.2          6556.63              6212.62          4989.88
cid_108    1.257446   1.257446   0  0       -999.0      -999.0          3.322862    -3.322862       -999.0      -999.0          10.269598   1.911115        -999.0       -999.0           -999.0      -999.0          -999.0      -999.0          12.873408   1.740863        -999.0      -999.0          16.879118   1.693126        -999.0       -999.0           23.63325078  2.363325078      -999.0       -999.0           16.57663881  2.519577472      -999.0        -999.0            -999.0       -999.0           -999.0       -999.0           16.98167502  1.457073811      -999.0       -999.0           24.67169614  1.862148374      2.133745         0.5904083            5.795863         0.7523136            22.40011505         1.36489165              24.22045229         0.58801639              30.12494405         0.814617951             30.61443501         1.202717775             28.6168778          4.422632581             -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0                -999.0                    -999.0                -999.0                    -999.0               -999.0                   21.60460647          7.25500496               -999.0               -999.0                   21.87995329          3.204985259              -999.0                -999.0                    -999.0                  -999.0                      -999.0                  -999.0                      -999.0                  -999.0                      -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   24.64938626          1.734071192              -999.0               -999.0                   38.09485471          0.446147091              -999           -999               -999.0         -999.0             -999.0         -999.0             -999.0          -999.0              30.44002809   3.13145701        26.61689853   3.225116361       33.90300931   5.767342623       53.72928347   6.355099649       136.5294211    7.645647584        234.2212255    14.52171598        512.4202086    169.0986688        2130.228785    1105.58874         150.0          0.265              237.0          0.282              349.0          1.4                486.0          1.19               1350             8.11                 -999.0          -999.0              17127.9          1172.6               36708.8           3556.2                34401.6          3409.58              23609.8          6574.37              9439.68          5117.99
cid_216    1.565879   1.565879   0  0       -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          1.407794    0.046           -999.0       -999.0           -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          7.031791    1.415067        -999.0      -999.0          -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           3.309617585  0.063124343      -999.0        -999.0            -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           4.182750963  1.458704594      -999.0       -999.0           -999.0           -999.0               -999.0           -999.0               2.631105418         1.128683709             4.494798724         0.548838747             2.951958508         0.983280848             5.542558031         1.534895607             11.03504857         5.77922046              -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0                -999.0                    -999.0                -999.0                    -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   3.649776236          0.072995525              -999.0                -999.0                    -999.0                  -999.0                      -999.0                  -999.0                      -999.0                  -999.0                      -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999           -999               -999.0         -999.0             -999.0         -999.0             -999.0          -999.0              -999.0        -999.0            -999.0        -999.0            -999.0        -999.0            -999.0        -999.0            38.72810516    5.693031459        56.28935197    11.76447456        465.1855854    -465.1855854       2523.633297    -2523.633297       36.3           0.238              48.8           0.393              53.3           1.62               65.1           2.64               189              11.6                 -999.0          -999.0              -999.0           -999.0               -999.0            -999.0                16792.5          3409.56              11841.9          6559.06              6696.17          5021.57
ecdfs_379  0.7403314  0.7403314  0  0       2.3276      0.182452        3.6132      0.0422          20.313604   0.709747        21.322969   1.01929         31.049798    3.404863         -999.0      -999.0          -999.0      -999.0          49.829006   6.028998        47.918782   0.141037        61.049558   3.321604        58.81512146  0.138442843      67.31577507  0.408917504      63.31028398  0.543391182      48.15703543  0.788242304      63.73738984   2.637277535       -999.0       -999.0           -999.0       -999.0           69.36077088  4.591586358      63.81101009  1.007420639      69.55280452  2.633341248      16.01853         2.537897             42.49483         2.972767             -999.0              -999.0                  -999.0              -999.0                  -999.0              -999.0                  -999.0              -999.0                  -999.0              -999.0                  59.35079175  1.844207152      55.78865265  3.659512404      66.86311675  2.415964931      78.1531208   2.619223691      69.66040529  14.34676959      -999.0                -999.0                    -999.0                -999.0                    45.70740613          0.088021298              37.84651528          28.97586509              64.45644682          4.214315574              60.09886577          2.601759668              71.61861922           4.194103562               25.45342087             0.509068417                 32.69084306             0.653816861                 31.81460233             0.636292047                 75.96724506          1.554243253              82.83359032          0.71841326               -999.0               -999.0                   110.572197           1.795095523              95.18889317          1.903777863              120.4498964          2.8304894                -999           -999               96.5419016     3.339867086        123.6837513    4.566156731        159.6625455     6.611785671         -999.0        -999.0            -999.0        -999.0            -999.0        -999.0            -999.0        -999.0            297.3214546    8.919643639        391.5851817    13.31389618        759.322465     92.63734073        2756.933235    -2756.933235       383.0          1.1                470.0          1.4                551.0          4.08               624.0          5.0                1070             49.6                 1461.0          353.1               -999.0           -999.0               -999.0            -999.0                -999.0           -999.0               -999.0           -999.0               -999.0           -999.0
cid_110    0.7283133  0.7283133  0  0       -999.0      -999.0          2.982694    -2.982694       -999.0      -999.0          11.348609   0.368662        -999.0       -999.0           -999.0      -999.0          -999.0      -999.0          21.215673   0.435205        -999.0      -999.0          26.706242   0.939666        -999.0       -999.0           6.360939092  0.636093909      -999.0       -999.0           5.518711044  0.080879678      -999.0        -999.0            -999.0       -999.0           -999.0       -999.0           9.404165191  0.482810719      -999.0       -999.0           8.463110502  0.176719239      2.679397         0.1066919            8.398003         0.1598811            6.379435472         1.086292186             9.58725434          0.535578637             12.41189946         0.856055656             16.98049119         1.302956899             14.92485941         5.099606558             -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0                -999.0                    -999.0                -999.0                    -999.0               -999.0                   9.416866343          0.188337327              -999.0               -999.0                   14.11062113          1.422584316              -999.0                -999.0                    -999.0                  -999.0                      -999.0                  -999.0                      -999.0                  -999.0                      -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   29.77050786          0.119165406              -999.0               -999.0                   34.9563563           0.541603592              -999           -999               -999.0         -999.0             -999.0         -999.0             -999.0          -999.0              18.40737453   3.069687406       23.21581043   3.218222074       32.60224066   5.73848339        32.61906055   6.311005359       85.43311644    6.663783083        102.7131974    13.55814206        557.2194265    -557.2194265       4100.400227    -4100.400227       93.7           0.272              91.5           0.224              117.0          1.55               117.0          1.2                579              8.14                 -999.0          -999.0              -999.0           -999.0               -999.0            -999.0                8162.54          3409.01              4286.23          6585.85              -999.0           -999.0
cid_128    1.408853   1.408853   0  0       -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          1.765471    0.585021        -999.0       -999.0           7.323105    2.813584        -999.0      -999.0          10.443992   0.991342        -999.0      -999.0          9.335376    3.785238        -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           34.46052475  0.6373803        -999.0        -999.0            39.38112685  2.301604843      -999.0       -999.0           43.0431055   0.70079908       -999.0       -999.0           60.6760651   3.440676082      4.465604         0.2517999            12.07507         0.5029392            45.74527565         1.669628454             46.50699178         0.712610823             52.21968514         0.924197043             51.85734154         1.328343953             47.2805205          4.405696771             -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0                -999.0                    -999.0                -999.0                    -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   33.83659089          0.676731818              -999.0                -999.0                    -999.0                  -999.0                      -999.0                  -999.0                      -999.0                  -999.0                      -999.0               -999.0                   44.1963296           0.883926592              -999.0               -999.0                   44.3799041           4.086060812              -999.0               -999.0                   60.67169789          3.840927647              -999           -999               -999.0         -999.0             -999.0         -999.0             -999.0          -999.0              22.20442079   3.203609423       50.41185157   3.780586397       44.49244261   5.958427914       48.46969076   6.77897095        93.5031515     6.077704848        159.8182051    12.46582           346.757808     161.9358963        3034.074559    -3034.074559       102.0          0.266              176.0          0.488              270.0          1.6                415.0          3.1                1440             10.8                 -999.0          -999.0              18774.8          1795.1               31464.7           3736.4                21689.7          3409.03              21934.4          6571.54              19469.6          5142.12
cid_192    1.220132   1.220132   0  0       -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          4.475915    0.114075        -999.0       -999.0           -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          12.698342   0.205475        -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           17.07513425  0.207708453      -999.0        -999.0            -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           31.99565796  0.295982341      7.388282         0.1292805            12.32587         0.1417124            21.5926651          1.411913061             23.64929774         0.587747246             27.54775735         0.859714819             29.11617017         1.108329146             29.34663084         4.793452269             -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0                -999.0                    -999.0                -999.0                    -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   19.77818921          0.395563784              -999.0                -999.0                    -999.0                  -999.0                      -999.0                  -999.0                      -999.0                  -999.0                      -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   38.69959813          0.773991963              -999           -999               -999.0         -999.0             -999.0         -999.0             -999.0          -999.0              26.98772331   3.032421554       36.43012395   3.580534733       -999.0        -999.0            42.00191086   6.173902879       68.74264666    6.324323493        129.6660404    14.1335984         443.0229748    -443.0229748       4566.949916    -4566.949916       74.8           0.258              100.0          0.438              122.0          1.61               166.0          2.84               466              11.8                 -999.0          -999.0              -999.0           -999.0               10504.6           3048.1                5914.21          3409.51              -999.0           -999.0               -999.0           -999.0
cid_1930   1.566184   1.566184   0  0       -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          0.484245    0.460336        -999.0       -999.0           -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          20.818746   1.260489        -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           29.95679002  0.386323361      -999.0        -999.0            -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           33.5783982   0.931134756      -999.0           -999.0               1.074304         0.1254266            10.1835277          1.160304017             16.22595432         0.541374747             17.58337543         0.765344021             28.22345966         1.223551326             34.15090751         4.471719829             -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0                -999.0                    -999.0                -999.0                    -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   28.61449956          0.572289991              -999.0                -999.0                    -999.0                  -999.0                      -999.0                  -999.0                      -999.0                  -999.0                      -999.0               -999.0                   -999.0               -999.0                   32.8296559           0.656593118              -999.0               -999.0                   -999.0               -999.0                   46.94030117          0.938806023              -999           -999               -999.0         -999.0             -999.0         -999.0             -999.0          -999.0              18.06935494   2.767484333       32.63002818   3.371334512       51.26364102   5.162966342       63.59629994   6.123051758       187.5971555    8.066677685        347.3971481    15.98026881        917.9652665    145.0385121        2307.949219    851.6332617        250.0          0.237              398.0          0.34               548.0          0.948              735.0          1.23               2220             5.85                 -999.0          -999.0              18445.4          2865.6               55718.8           3015.4                69570.1          3411.69              58575.0          6574.55              24746.3          5130.39
cid_3570   1.242593   1.242593   0  0       -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          -999.0      -999.0          -999.0       -999.0           -999.0      -999.0          -999.0      -999.0          11.993483   0.419703        -999.0      -999.0          -999.0      -999.0          -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0        -999.0            -999.0       -999.0           -999.0       -999.0           4.353614338  0.492675863      -999.0       -999.0           -999.0       -999.0           -999.0           -999.0               -999.0           -999.0               -999.0              -999.0                  -999.0              -999.0                  -999.0              -999.0                  -999.0              -999.0                  -999.0              -999.0                  -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0                -999.0                    -999.0                -999.0                    -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   2.677356644          0.001192452              -999.0                -999.0                    -999.0                  -999.0                      -999.0                  -999.0                      -999.0                  -999.0                      -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999           -999               -999.0         -999.0             -999.0         -999.0             -999.0          -999.0              -999.0        -999.0            -999.0        -999.0            21.34111219   5.430352703       -999.0        -999.0            62.34853436    5.985459299        38.44379466    11.99446393        314.2145191    -314.2145191       3218.297952    -3218.297952       63.8           0.253              57.0           0.382              31.4           1.52               44.2           2.44               353              11.4                 -999.0          -999.0              -999.0           -999.0               -999.0            -999.0                -999.0           -999.0               -999.0           -999.0               -999.0           -999.0
cid_40     1.53425    1.53425    0  0       -999.0      -999.0          3.533021    1.582176        -999.0      -999.0          4.393449    1.849358        -999.0       -999.0           -999.0      -999.0          -999.0      -999.0          8.872069    1.745928        -999.0      -999.0          17.73592    1.633721        -999.0       -999.0           9.087112966  1.586819394      -999.0       -999.0           10.10765854  1.597699382      -999.0        -999.0            -999.0       -999.0           -999.0       -999.0           12.03874984  1.441840281      -999.0       -999.0           11.34566414  1.454683041      -999.0           -999.0               4.846076         0.7151698            13.25226919         1.325605934             14.91153145         0.541934858             18.17315158         0.786477845             20.77314483         1.116257609             14.57170092         4.797116145             -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0       -999.0           -999.0                -999.0                    -999.0                -999.0                    -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   11.95161539          0.239032308              -999.0                -999.0                    -999.0                  -999.0                      -999.0                  -999.0                      -999.0                  -999.0                      -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999.0               -999.0                   -999           -999               -999.0         -999.0             -999.0         -999.0             -999.0          -999.0              12.79041538   2.878994599       21.25249139   3.195609615       -999.0        -999.0            28.93249248   6.002305957       52.62913704    5.315542841        90.53703109    11.04551779        384.4379466    -384.4379466       1937.43102     -1937.43102        65.0           0.236              91.0           0.445              106.0          1.42               145.0          3.0                398              11.7                 -999.0          -999.0              4216.1           1381.8               -999.0            -999.0                6781.89          3410.04              2116.83          6555.82              -999.0           -999.0
